,날짜,코디,조회수,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
424,20220427,캐주얼,11089,올블랙,와이드핏,펀칭,콜라보,봄,댄디,후러브스아트,트릴리온,코모레비뮤지엄,앰버옵티컬,미나브,슈트 팬츠슬랙스,안경 소품,메신저크로스 백,샌들,안경,,,,,,,,
430,20220603,댄디,10822,체크,아메카지,뉴트럴톤,꾸안꾸,카고,여름,아메리칸 캐주얼,마크4,브라스보트,스위브,안티치 로마니,팔찌,숄더백,잡지무크지,샌들,,,,,,,,,
435,20220112,댄디,10637,워싱,와이드핏,캠퍼스,꾸안꾸,겨울,캐주얼,컨버스,라모랭,247 서울,라퍼지스토어,디스이즈네버댓,브랜디드,캔버스단화,비니,장갑,사파리헌팅 재킷,데님 팬츠,,,,,,,
441,20220218,스포츠,10306,로고플레이,레터링,오버핏,편안한,원마일웨어,꾸안꾸,플리스,캠퍼스,봄,캐주얼,로우로우,예일,아디다스,아카이브 볼드,마하그리드,에스피오나지,백팩,기타 컬처,후드 티셔츠,패션스니커즈화,트레이닝조거 팬츠,비니,플리스뽀글이,
443,20220401,스트릿,10237,로고플레이,오버핏,와이드핏,캠퍼스,꾸안꾸,콜라보,키높이,봄,캐주얼,토피,포즈간츠,리,유씨 버클리,슈펜,팔렛,데님 팬츠,안경 소품,액자포스터,캔버스단화,셔츠블라우스,맨투맨스웨트셔츠,백팩,캡야구 모자,
445,20220422,댄디,10129,카고,와이드핏,키높이,여행,컬러포인트,봄,캐주얼,에픽,논논,엠엘비,낫포너드,커버낫,캐리어,목걸이펜던트,기타 스니커즈,캡야구 모자,트레이닝조거 팬츠,안경 소품,반소매 티셔츠,,,,,
446,20220523,댄디,10023,청청패션,셋업코디,꾸안꾸,심볼,레터링,오버핏,워싱,봄,캐주얼,메종드바라,두마로,뉴발란스,파르티멘토,에코백,캡야구 모자,셔츠블라우스,,,,,,,,
450,20220523,캐주얼,9906,펀칭,와이드핏,데이트,남친룩,모노톤,봄,댄디,후러브스아트,컬러콜라,셉텐벌5,밋맷밋,미나브,슈트 팬츠슬랙스,안경 소품,캔버스단화,목걸이펜던트,메신저크로스 백,,,,,,,
451,20220322,캐주얼,9893,로고플레이,오버핏,스티치,캠퍼스,봄,캐주얼,유니폼브릿지,아디다스,47브랜드,하 아카이브,어반디타입,데님 팬츠,안경 소품,액자포스터,패션스니커즈화,캡야구 모자,메신저크로스 백,맨투맨스웨트셔츠,,,,,,
461,20220407,캐주얼,9506,오버핏,핀턱,와이드핏,미니멀,데이트,남친룩,컬러블록,봄,댄디,커스텀에이드,매드고트,라퍼지스토어,어널러코드,캔버스단화,안경,토트백,맨투맨스웨트셔츠,,,,,,,
464,20220422,캐주얼,9472,원마일웨어,와이드핏,모노톤,그래픽,로고플레이,봄,캐주얼,아차,노스페이스,홀리넘버세븐,페플,식스핏,리스펙트,목걸이펜던트,백팩,기타 컬처,캡야구 모자,캔버스단화,트레이닝조거 팬츠,,,,,
466,20220223,스포츠,9441,에코,캠퍼스,체크,스티치,남친룩,와이드핏,레터링,봄,캐주얼,후러브스아트,필이너프,트릴리온,리트리버클럽,어반스터프,와일드 브릭스,슈트 팬츠슬랙스,안경 소품,베스트,셔츠블라우스,에코백,겨울 기타 코트,머플러,,
467,20220311,아메리칸 캐주얼,9404,캠퍼스,꾸안꾸,편안한,원마일웨어,봄,캐주얼,이벳필드,에스이에스티,토피,1993스튜디오,더나인몰,반스,캡야구 모자,트레이닝조거 팬츠,후드 집업,기타 상의,케이스슬리브,캔버스단화,,,,,,
469,20220420,스포츠,9358,오버핏,린넨,와이드핏,핀턱,데이트,화사한,파스텔,컬러블록,봄,댄디,아디다스,커스텀어클락,라퍼지스토어,매드고트,로우로우,피그앤헨,패션스니커즈화,숏 팬츠,선글라스,셔츠블라우스,토트백,안경,팔찌,
